timestamp_ms,ax,ay,az,gx,gy,gz,wheel_pulse
387070,998,-191,6238,-119,449,-394,234
387075,816,-629,4267,-1245,852,-176,234
387080,924,-196,7579,-1470,524,88,234
387085,1002,576,5498,-1915,1271,307,234
387090,155,227,4885,-1836,1457,236,234
387095,429,1228,2685,-850,1630,-26,234
387100,505,370,1194,-61,953,-384,234
387105,88,116,1435,-387,306,-587,234
387110,25,-10,4000,-565,-96,-729,235
387115,-192,-144,2409,-287,536,-692,235
387120,-431,-594,3716,45,-78,-781,235
387125,-64,-2422,2007,1153,-350,-924,235
387130,-213,-1341,4860,718,-1083,-232,235
387135,-530,-2205,483,949,-925,247,235
387140,-77,-320,3225,1812,-1956,667,235
387145,180,251,5232,2136,-2388,796,235
387150,767,174,9037,754,-2233,710,235
387155,151,-451,2301,317,-660,596,235
387160,562,1172,10197,179,-1639,610,235
387165,887,2050,6205,126,530,315,235
387170,622,1404,5053,-474,1034,-86,235
387175,535,1259,2615,-497,1118,-397,235
387180,180,308,728,-211,411,-784,235
387185,298,-792,2616,146,-746,-940,235
387190,877,421,5672,-98,-919,-730,235
387195,506,-69,4925,-1212,82,-612,235
387200,307,-1700,3018,-894,-129,-586,235
387205,519,-600,7995,-637,-930,-264,235
387210,383,-436,6549,127,493,-123,235
387215,413,-451,3428,661,773,-77,235
387220,948,351,6796,351,-48,-76,235
387225,299,-471,2010,484,1106,-190,235
387230,302,-1615,1533,180,465,-172,235
387235,505,79,5792,-53,-457,89,235
387240,143,-152,4617,-645,306,177,235
387245,-73,525,4121,-1221,479,238,235
387250,-39,1273,4853,-865,223,104,235
387255,307,2022,4676,268,350,-423,235
387260,382,201,3100,837,664,-967,235
387265,450,-611,4179,616,214,-926,235
387270,20,-872,5618,485,336,-727,235
387275,36,-1384,2385,-88,963,-434,235
387280,285,-1267,3062,-323,271,-10,235
387285,664,-341,5204,-1101,-84,399,235
387290,218,546,4959,-914,414,541,235
387295,352,1023,4976,-300,80,330,235
387300,247,1247,5489,-163,268,-45,235
387305,244,660,4316,246,888,-539,235
387310,-104,-1156,2108,973,1010,-946,235
387315,741,-1205,4704,187,10,-792,235
387320,498,-326,4813,-316,361,-419,235
387325,113,-257,2832,-52,627,-294,235
387330,331,-119,4780,-113,-167,-224,235
387335,687,-380,7344,105,-131,-92,235
387340,-23,-124,1487,790,1073,25,235
387345,-123,131,3742,569,136,152,235
387350,442,-248,5950,158,248,134,235
387355,392,-80,3463,-67,1263,104,235
387360,115,-175,3572,-289,809,130,235
387365,148,345,5007,19,517,58,235
387370,198,799,2904,483,944,-54,235
387375,207,582,3413,401,371,-234,235
387380,150,-44,2057,-51,35,-441,235
387385,330,-528,4495,-484,-535,-444,235
387390,359,-157,7124,-363,-497,-414,235
387395,292,366,4431,-42,156,-456,235
387400,612,-175,5803,-37,-335,-555,235
387405,601,-679,4769,261,107,-588,235
387410,365,-797,4009,584,384,-452,235
387415,-33,-1814,1489,670,378,-276,235
387420,174,-1991,610,653,-764,184,235
387425,660,396,5891,-193,-1599,759,235
387430,3,49,3451,-524,-180,856,235
387435,32,303,3956,-984,-380,959,236
387440,474,1969,8638,821,-1739,731,236
387445,183,1551,7554,274,-485,284,236
387450,-39,138,3848,106,667,-163,236
387455,317,-487,5868,497,119,-355,236
387460,314,-329,3569,442,648,-355,236
387465,265,-188,3027,359,720,-417,236
387470,626,-1178,3385,804,579,-595,236
387475,755,-355,4391,1324,583,-784,236
387480,527,-751,3570,952,881,-758,236
387485,677,-984,6692,935,209,-447,236
387490,458,-35,4902,1243,820,-114,236
387495,652,-590,6411,911,968,82,236
387500,404,-298,5192,594,1615,381,236
387505,280,717,2719,4,1593,631,236
387510,487,543,5206,-325,777,604,236
387515,205,696,234,508,1398,445,236
387520,-262,982,-130,628,283,178,236
387525,7,1013,1538,153,-1060,-172,236
387530,36,1260,2792,-1017,-1662,-351,236
387535,71,-296,4944,-1946,-1593,-547,236
387540,-842,549,4299,-1421,-1069,-581,236
387545,1061,-56,11905,-630,-1979,-732,236
387550,1065,-2332,7608,106,-203,-733,236
387555,489,-164,5648,384,159,-269,236
387560,687,-1882,7710,-76,-115,41,236
387565,260,-1466,2271,423,1082,331,236
387570,-335,-1368,824,668,563,483,236
387575,-61,-267,1923,938,-658,600,236
387580,563,1383,4359,36,-792,581,236
387585,154,-147,2138,-1703,313,537,236
387590,308,1468,3415,-1376,206,528,236
387595,72,713,814,771,-703,151,236
387600,893,2489,9740,699,-1991,-169,236
387605,773,830,8577,-297,14,-611,236
387610,175,-949,6398,-221,800,-959,236
387615,548,-1863,4408,53,498,-895,236
